a, ab (prep. abl.)|de, desde, por
committo, -is, -ere, -misi, -missum|cometer, acometer, trabar
commoveo, -es, -ere, -movi, -motum|conmover
communio, -is, -ire, -ivi, -itum|fortificar, reforzar
comparo, -as, -are, -avi, -atum|comparar, preparar, comprar, adquirir
comperio, -is, -ire, -peri, -pertum|comprobar, averiguar, enterarse de
comprehendo, -is, -ere, -prehendi, -prehensum|apresar, prender, coger, comprender
conatus, -us (m.)|conato, intento
concedo, -is, -ere, -cessi, -cessum|ceder, conceder, retirarse
concido, -is, -ere, -cidi|caer, derrumbarse
concilio, -as, -are, -avi, -atum|conciliar, atraerse, ganar
concilium, -ii (n.)|asamblea, reunión, consejo
concurro, -is, -ere, -curri, -cursum|correr juntos, concurrir, reunirse
condicio, -onis (f.)|condición
condo, -is, -ere, -didi, -ditum|fundar, construir, ocultar, guardar
conduco, -is, -ere, -duxi, -ductum|conducir, reunir, contratar
confero, confers, conferre, contuli, collatum|reunir, aportar, comparar, dirigir
conficio, -is, -ere, -feci, -fectum|realizar, terminar, consumir
confirmo, -as, -are, -avi, -atum|confirmar, asegurar, fortalecer
confligo, -is, -ere, -flixi, -flictum|combatir, luchar
conicio, -is, -ere, -ieci, -iectum|arrojar, lanzar, deducir
coniungo, -is, -ere, -iunxi, -iunctum|unir, juntar
coniunx, -iugis (m. y f.)|cónyuge, esposo, esposa
conor, -aris, -ari, -atus sum|intentar, esforzarse
conquiro, -is, -ere, -quisivi, -quisitum|buscar, reunir
conscendo, -is, -ere, -scendi, -scensum|subir, embarcar
consequor, -queris, -qui, -secutus sum|alcanzar, conseguir
consido, -is, -ere, -sedi, -sessum|sentarse, establecerse
consilium, -ii (n.)|plan, proyecto, decisión, consejo
consisto, -is, -ere, -stiti|detenerse, establecerse
conspectus, -us (m.)|vista, presencia
constituo, -is, -ere, -stitui, -stitutum|establecer, decidir, colocar
consuesco, -is, -ere, -suevi, -suetum|acostumbrarse
consul, -ulis (m.)|cónsul
consularis, -e|consular
consulatus, -us (m.)|consulado
consulo, -is, -ere, -sului, -sultum|consultar, deliberar, velar por
consumo, -is, -ere, -sumpsi, -sumptum|consumir, gastar
contendo, -is, -ere, -tendi, -tentum|dirigirse, luchar, sostener
contineo, -es, -ere, -tinui, -tentum|contener, mantener, limitar
contra (prep. ac.)|contra, frente a
controversia, -ae (f.)|controversia, disputa
convenio, -is, -ire, -veni, -ventum|reunirse, convenir, llegar
converto, -is, -ere, -verti, -versum|volver, girar, transformar
convoco, -as, -are, -avi, -atum|convocar, reunir
copia, -ae (f.)|abundancia, provisión; copiae: tropas
copiosus, -a, -um|abundante, numeroso
cor, cordis (n.)|corazón
Cornelius, -ii (m.)|Cornelio (nomen)
corpus, corporis (n.)|cuerpo
corrumpo, -is, -ere, -rupi, -ruptum|corromper, destruir
cotidie (adv.)|cada día, diariamente
credo, -is, -ere, credidi, creditum|creer, confiar
creo, -as, -are, -avi, -atum|crear, elegir, nombrar
cresco, -is, -ere, crevi, cretum|crecer
crimen, -minis (n.)|crimen, acusación
crudelitas, -tatis (f.)|crueldad
crudelis, -e|cruel
crux, crucis (f.)|cruz
cum (prep. abl.)|con
cum (conj.)|cuando, como, aunque, puesto que
cunctor, -aris, -ari, -atus sum|dudar, vacilar
cupiditas, -tatis (f.)|deseo, afán, pasión
cupio, -is, -ere, -ivi (-ii), -itum|desear
cur (adv. interr.)|¿por qué?
cura, -ae (f.)|cuidado, preocupación
curia, -ae (f.)|curia, lugar de reunión del senado
curo, -as, -are, -avi, -atum|cuidar, atender, procurar
