a, ab (prep. abl.)|de, desde, por
quacumque (adv. rel.-indef.)|por donde quiera que
quadragesimus, -a, -um|cuadragésimo
quadraginta (adj. indecl.)|cuarenta
quadringentesimus, -a, -um|cuadringentésimo
quadringenti, -ae, -a|cuatrocientos
quaero, -is, -ere, quaesivi, quaesitum|preguntar, buscar, pretender
quaeso, -is, -ere, -ivi|pedir, rogar; quaeso, quaesumus: por favor
qualis, -e|cual, como, cuál, cómo
quam (adv.)|que, como; cuanto; qué, cuánto
quamobrem (conj. ilat.)|por consiguiente, por eso, así pues; ¿por qué?
quamquam (conj. conces.)|aunque
quamvis (conj. conces.)|por más que, aunque
quando (adv.)|cuándo
quantum (adv.)|cuanto
quantus, -a, -um|cuanto, cuan grande, como
quare (conj. ilat.)|así pues, por lo tanto, por consiguiente; ¿por qué?
quartus, -a, -um|cuarto
quater (adv.)|cuatro veces
quaterni, -ae, -a|de cuatro en cuatro, cuatro cada uno
quattuor (adj. indecl.)|cuatro
quattuordecim (adj. indecl.)|catorce
-que (conj. cop. enclítica)|y
qui, quae, quod|que, quien, el cual
quia (conj. causal)|porque, puesto que, como
quicumque, quaecumque, quodcumque|cualquiera que, todo el que, aquel que
quid (adv.)|por qué
quidam, quaedam, quiddam (quoddam)|cierto, uno, alguno
quidem (adv.)|ciertamente
quiesco, -is, -ere, quievi, quietum|descansar, reposar
quilibet, quaelibet, quidlibet (quodlibet)|cualquiera
quin (conj. compl.)|que
quindecim (adj. indecl.)|quince
quingentesimus, -a, -um|quingentésimo
quingenti, -ae, -a|quinientos
quini, -ae, -a|de cinco en cinco, cinco cada uno
quinquagesimus, -a, -um|quincuagésimo
quinquaginta (adj. indecl.)|cincuenta
quinque (adj. indecl.)|cinco
quinquiens (adv.)|cinco veces
Quintilis, -is (m.)|mayo
Quintilis, -e|de mayo
quintus, -a, -um|quinto
Quintus, -i (m.)|Quinto (praenomen)
Quirinus, -i (m.)|Quirino
quis (qui), quae, quid (quod)|quién, qué, cuál
quis (qui), qua (quae), quid (quod)|alguien, alguno, algo
quisque, quaeque, quidque (quodque)|cada uno
quisquis, quidquid (quicquid)|cualquiera que, todo el que
quivis, quaevis, quidvis (quodvis)|cualquiera
quo (adv.)|adonde, adónde; para que
quocumque (adv.)|a donde quiera que
quod (conj. causal)|porque, ya que, puesto que, como; que, el hecho de que
quomodo (adv.)|cómo
quondam (adv.)|en otro tiempo, una vez
quoniam (conj. causal)|porque, puesto que, como
quoque (adv.)|también
quot (adj. indecl.)|cuántos, cuantos
quotannis (adv.)|todos los años, cada año, anualmente
quotiens (adv.)|cuantas veces, cuántas veces
rana, -ae (f.)|rana
rapio, -is, -ere, -pui, -ptum|robar, arrebatar, capturar, coger, raptar
raptus, -us (m.)|rapto
rarus, -a, -um|escaso, poco frecuente
ratio, -onis (f.)|razón, método, medio, cálculo, medida
ratis, -is (f.)|balsa, barca
recenseo, -es, -ere, -nsui, -nsum|revistar
receptus, -us (m.)|retirada
recipio, -is, -ere, -cepi, -ceptum|retirar, recoger, recibir
recito, -as, -are, -avi, -atum|recitar, leer en voz alta
recte (adv.)|rectamente, directamente
rectus, -a, -um|recto, derecho, directo
recupero, -as, -are, -avi, -atum|recuperar, recobrar
reddo, -is, -ere, -didi, -ditum|devolver, entregar, producir, hacer
redeo, -is, -ire, -ii, -itum|regresar, volver
redigo, -is, -ere, -egi, -actum|recoger, someter, redactar
reduco, -is, -ere, -duxi, -ductum|llevar de nuevo, retirar, reducir
refero, refers, referre, retuli, relatum|llevar de nuevo, devolver, traer, repetir, referir, proponer
reficio, -is, -ere, -feci, -fectum|rehacer, reparar, reconstruir
refugio, -is, -ere, -fugi|huir, refugiarse; rehuir, evitar
regina, -ae (f.)|reina
regio, -onis (f.)|región
regius, -a, -um|regio, real, propio de un rey
regno, -as, -are, -avi, -atum|reinar
regnum, -i (n.)|reino
rego, -is, -ere, rexi, rectum|regir, dirigir, gobernar
relatio, -onis (f.)|relación, exposición, propuesta
relinquo, -is, -ere, -liqui, -lictum|dejar, abandonar
reliquus, -a, -um|restante, demás
Remus, -i (m.)|Remo
renovo, -as, -are, -avi, -atum|renovar, reemprender
renuntio, -as, -are, -avi, -atum|anunciar, comunicar, notificar
reparo, -as, -are, -avi, -atum|reparar, restablecer, reponer
repello, -is, -ere, -puli, -pulsum|rechazar, repeler
repentinus, -a, -um|repentino, súbito
reperio, -is, -ire, -peri, -pertum|encontrar, descubrir, inventar
repulsa, -ae (f.)|repulsa
res, rei (f.)|cosa, asunto, objeto, situación, circunstancia, hecho, realidad, suceso; res publica: república, estado, política
rescindo, -is, -ere, -cidi, -cissum|rescindir, cortar, romper
respondeo, -es, -ere, -ndi, -nsum|responder, contestar
responsum, -i (n.)|respuesta, contestación
restituo, -is, -ere, -stitui, -stitutum|restablecer, restaurar, rehacer
reverto, -is, -ere, -rti, -rsum; reverter, -rteris, -rti, -rsus sum|regresar, volver
rex, regis (m.)|rey
Rhenus, -i (m.)|el Rin
Rhodanus, -i (m.)|el Ródano
rideo, -es, -ere, risi, risum|reír
ripa, -ae (f.)|orilla
rivus, -i (m.)|arroyo, riachuelo
rogo, -as, -are, -avi, -atum|preguntar, consultar, rogar, proponer
Roma, -ae (f.)|Roma
Romanus, -a, -um|romano
Romulus, -i (m.)|Rómulo
rosa, -ae (f.)|rosa
rostrum, -i (n.)|pico
rumpo, -is, -ere, rupi, ruptum|romper, cortar, destruir
rursus (adv.)|de nuevo, otra vez
rus, ruris (n.)|campo
S. = Sextus|Sexto
Sabini, -orum (m.)|los sabinos
Sabinus, -a, -um|sabino
sacer, -cra, -crum|sacro, sagrado, consagrado
sacrificium, -ii (n.)|sacrificio
sacrifico, -as, -are, -avi, -atum|sacrificar
saeculum, -i (n.)|siglo, época
saepe (adv.)|a menudo, con frecuencia, frecuentemente
sagitta, -ae (f.)|saeta, flecha
Saguntini, -orum (m.)|los saguntinos
Saguntum, -i (n.)|Sagunto
salio, -is, -ire, salui, saltum|saltar
salus, -utis (f.)|salud, bienestar, salvación
saluto, -as, -are, -avi, -atum|saludar
salvus, -a, -um|salvo, indemne, sano y salvo
Samnites, -ium (m.)|los samnitas
Samniticus, -a, -um|samnítico, samnita, del Samnio
sane (adv.)|ciertamente, perfectamente, cuerdamente, en buena hora
sano, -as, -are, -avi, -atum|sanar, curar, remediar
Santones, -um (m.)|los sántones
sapiens, -ntis|sabio, prudente
sapientia, -ae (f.)|sabiduría
satis (adv.)|bastante
saxum, -i (n.)|roca, piedra grande
Scaevola, -ae (m.)|Escévola
sceptrum, -i (n.)|cetro
scio, -is, -ire, -ivi, -itum|saber
Scipio, -onis (m.)|Escipión
scriba, -ae (m.)|escribano, secretario
scribo, -is, -ere, scripsi, scriptum|escribir, inscribir, alistar
scriptor, -oris (m.)|escritor; rerum scriptor: historiador
se, sui|se
seco, -as, -are, -cui, -ctum|cortar, partir, segar
secreto (adv.)|secretamente, ocultamente, aparte
secundus, -a, -um|segundo, favorable, próspero
securis, -is (f.)|hacha
sed (conj. advers.)|pero, sino
sedecim (adj. indecl.)|dieciséis
sella, -ae (f.)|silla
semel (adv.)|una vez
sementis, -is (f.)|simiente, siembra; sementes facere: sembrar
semper (adv.)|siempre
Sempronius, -ii (m.)|Sempronio
senator, -oris (m.)|senador
senatus, -us (m.)|senado
senatusconsultum, -i (n.)|senadoconsulto, decisión del senado
senectus, -tutis (f.)|senectud, vejez, ancianidad
senex, -nis (m.)|anciano
sententia, -ae (f.)|opinión, parecer
sentio, -is, -ire, -nsi, -nsum|sentir, notar, pensar, opinar
septem (adj. indecl.)|siete
September, -bris (m.)|septiembre
September, -bris, -bre|de septiembre
septendecim (adj. indecl.)|diecisiete
septiens (adv.)|siete veces
septimus, -a, -um|séptimo
septingentesimus, -a, -um|septingentésimo
septingenti, -ae, -a|setecientos
septuagesimus, -a, -um|septuagésimo
septuaginta (adj. indecl.)|setenta
Sequana, -ae (m.)|el Sena
Sequani, -orum (m.)|los sécuanos
sequor, -queris, -qui, -cutus sum|seguir, perseguir, proseguir
sermo, -onis (m.)|conversación, habla
servitus, -tutis (f.)|esclavitud
Servius, -ii (m.)|Servio
servo, -as, -are, -avi, -atum|salvar, preservar, conservar
servus, -i (m.)|esclavo
sescentesimus, -a, -um|sescentésimo
sescenti, -ae, -a|seiscientos
sestertius, -ii (m.)|sestercio
seu (conj. disy.)|o, o bien
sex (adj. indecl.)|seis
sexagesimus, -a, -um|sexagésimo
sexaginta (adj. indecl.)|sesenta
sexiens (adv.)|seis veces
Sextilis, -is (m.)|agosto
Sextilis, -e|de agosto
sextus, -a, -um|sexto
Sextus, -i (m.)|Sexto (praenomen)
si (conj. cond.)|si
sic (adv.)|así, de este modo; sic ut + ind.: así como; sic ut + subj.: de tal manera que
sicco, -as, -are, -avi, -atum|secar, desecar
Sicilia, -ae (f.)|Sicilia
sicut o sicuti (adv.)|así como, como, tal como
significo, -as, -are, -avi, -atum|significar, indicar, dar a conocer
signum, -i (n.)|signo, señal, enseña, estandarte, bandera, estatua
silentium, -ii (n.)|silencio
silva, -ae (f.)|selva, bosque
similis, -e|semejante, similar, igual
simius, -ii (m.)|mono, simio
simplex, -plicis|simple, sencillo
simul (adv.)|al mismo tiempo
simulacrum, -i (n.)|efigie, imagen, representación
sine (prep. abl.)|sin
singuli, -ae, -a|de uno en uno, uno por uno, uno cada uno
sinister, -tra, -trum|izquierdo, siniestro, que está a la izquierda
sitis, -is (f.)|sed
sive (conj. disy.)|o, o bien
societas, -tatis (f.)|sociedad, alianza, pacto
socius, -ii (m.)|aliado, compañero
Socrates, -tis (m.)|Sócrates
sol, solis (m.)|sol
solatium, -ii (n.)|consuelo
soleo, -es, -ere, -itus sum|soler
solum, -i (n.)|suelo
solum (adv.)|sólo, solamente; non solum... sed etiam...: no sólo... sino también...
solus, -a, -um|solo, único
sonitus, -us (m.)|sonido
Sotiates, -um (m.)|los sociates
Sp. = Spurius|Espurio
spatium, -ii (n.)|espacio, trecho, distancia, tiempo
spectaculum, -i (n.)|espectáculo
spero, -as, -are, -avi, -atum|esperar (tener esperanza)
spes, -ei (f.)|esperanza
Spurius, -ii (m.)|Espurio (praenomen)
statim (adv.)|al punto, inmediatamente, en seguida
Stator, -oris (m.)|Estátor, Salvador
statua, -ae (f.)|estatua
statuo, -is, -ere, -tui, -tutum|establecer, decidir
stilus, -i (m.)|estilete, punzón para escribir, estilo
strenue (adv.)|valerosamente
strenuus, -a, -um|valeroso, valiente
studium, -ii (n.)|afición, afán, interés, entusiasmo, estudio
stultus, -a, -um|necio, tonto, estúpido
sub (prep. ac. y abl.)|bajo, debajo de, al pie de
subeo, -is, -ire, -ii, -itum|avanzar, subir, acercarse (a), entrar (en), reemplazar
subigo, -is, -ere, -egi, -actum|someter, dominar
subito (adv.)|de pronto, de repente, súbitamente
subitus, -a, -um|súbito, repentino
Sublicius, -ii (m.)|Sublicio (viejo puente de madera sobre el Tíber)
subsidium, -ii (n.)|ayuda, auxilio
subsum, -es, -esse|estar debajo, estar oculto, estar cerca
succedo, -is, -ere, -cessi, -cessum|reemplazar, suceder
successor, -oris (m.)|sucesor
suesco, -is, -ere, -suevi, suetum|acostumbrarse a; en perfecto: haberse acostumbrado = soler
suffragium, -ii (n.)|sufragio, voto
sum, es, esse, fui|ser, estar, existir (haber)
summa, -ae (f.)|suma, totalidad
summisse (adv.)|sumisamente, humildemente
summitto, -is, -ere, -misi, -missum|someter, abatir, enviar (como refuerzo o relevo)
summus, -a, -um|sumo, supremo, muy grande, la parte alta de, lo alto de
sumo, -is, -ere, sumpsi, sumptum|tomar
super (prep. ac. y abl.)|sobre, encima de, por encima de
superbus, -a, -um|soberbio
superior, -ius|superior, más alto, más elevado, anterior
supero, -as, -are, -avi, -atum|superar, aventajar, vencer
supersum, -es, -esse, -fui|sobrar, quedar, sobrevivir
superus, -a, -um|alto, elevado, de arriba
suppeto, -is, -ere, -ivi (-ii), -itum|estar a disposición, bastar
supprimo, -is, -ere, -pressi, -pressum|suprimir, cortar, detener
supra (prep. ac.)|sobre, por encima de; (adv.) encima, arriba, anteriormente
surgo, -is, -ere, surrexi, surrectum|levantarse, surgir
surripio, -is, -ere, -ripui, -reptum|quitar, robar
suscipio, -is, -ere, -cepi, -ceptum|recoger, asumir, emprender, arrostrar
sustineo, -es, -ere, -tinui, -tentum|sostener, contener, retener
suus, -a, -um|suyo, su
Syria, -ae (f.)|Siria
T. = Titus|Tito
tabella, -ae (f.)|tablilla
taceo, -es, -ere, -cui, -citum|callar, estar callado
talis, -e|tal, igual, semejante
tam (adv.)|tan, tanto; tam... quam: tan... como; tam... ut: tan... que
tamen (conj. advers.)|sin embargo, no obstante
tametsi (conj. conces.)|aunque
tamquam (adv.)|como
tandem (adv.)|por fin, por último
tantum (adv.)|tanto, sólo
tantus, -a, -um|tan grande
tardus, -a, -um|tardo, lento, perezoso
Tarentum, -i (n.)|Tarento
Tarquinius, -ii (m.)|Tarquinio
tego, -is, -ere, texi, tectum|cubrir, proteger
telum, -i (n.)|dardo, proyectil, arma (ofensiva)
temere (adv.)|temerariamente, a la ligera, sin pensar, irreflexivamente
tempestas, -atis (f.)|tempestad
templum, -i (n.)|templo
tempto, -as, -are, -avi, -atum|tentar, intentar, probar
tempus, -oris (n.)|tiempo
teneo, -es, -ere, -nui, -ntum|tener, retener, sostener, sujetar
tentorium, -ii (n.)|tienda de campaña
ter (adv.)|tres veces
tergum, -i (n.)|espalda; a tergo: por retaguardia
terni, -ae, -a|de tres en tres, tres cada uno
terra, -ae (f.)|tierra
terreo, -es, -ere, -rui, -ritum|aterrar, asustar
terribilis, -e|terrible
terror, -oris (m.)|terror, espanto
tertius, -a, -um|tercero
thesaurus, -i (m.)|tesoro
Ti. = Tiberius|Tiberio
Tiberis, -is (m.)|Tíber
Tiberius, -ii (m.)|Tiberio (praenomen)
Ticinus, -i (m.)|el Tesino
timeo, -es, -ere, -mui|temer
timidus, -a, -um|tímido, temeroso, cobarde
timor, -oris (m.)|miedo
Titus, -i (m.)|Tito (praenomen)
toga, -ae (f.)|toga
tolero, -as, -are, -avi, -atum|tolerar, soportar, aguantar, sufrir
Tolosates, -ium (m.)|los tolosates
tonitrus, -us (m.)|trueno
tot (adj. indecl.)|tantos
totiens (adv.)|tantas veces
totus, -a, -um|todo, entero
trabea, -ae (f.)|trábea
tracto, -as, -are, -avi, -atum|manejar, dirigir, administrar
trado, -is, -ere, -didi, -ditum|entregar, transmitir, narrar, traicionar
traduco, -is, -ere, -duxi, -ductum|transportar, llevar, hacer pasar
trano, -as, -are, -avi, -atum|atravesar a nado
tranquillus, -a, -um|tranquilo, pacífico
trans (prep. ac.)|tras, al otro lado de, más allá de, detrás de
ubi (adv.)|donde, dónde; (conj. temp.): cuando; ubi primum: tan pronto como
ubicumque (adv.)|donde quiera que
ullus, -a, -um|alguno
ulterior, -ius|ulterior, de más allá
una (adv.)|juntamente
unde (adv.)|de donde, de dónde
undecim (adj. indecl.)|once
undecimus, -a, -um|undécimo
undecumque (adv.)|de donde quiera que
undetricesimus, -a, -um|vigésimonono
undetriginta (adj. indecl.)|veintinueve
undevicesimus, -a, -um|decimonono
undeviginti (adj. indecl.)|diecinueve
undique (adv.)|de todas partes, por todas partes
unus, -a, -um|uno, uno solo, único
urbs, urbis (f.)|ciudad
usque (adv.)|sin interrupción, seguidamente; usque ad: hasta
ut o uti|Con ind.: como, según; cuando; ut primum: tan pronto como. Con subj.: que; para que; de tal manera que; aunque
uter, utra, utrum|cuál (de los dos), quién (entre dos)
uterque, utraque, utrumque|los dos, uno y otro, ambos
utilis, -e|útil
utinam (adv.)|ojalá
utor, uteris, uti, usus sum|usar de, servirse de, usar
utrimque (adv.)|por ambas partes
utrum (adv.)|en interrogación indirecta: si
uva, -ae (f.)|uva
uxor, -oris (f.)|esposa
vacca, -ae (f.)|vaca
vaco, -as, -are, -avi, -atum|estar vacío, estar desocupado
vado, -is, -ere|ir, marchar
vadum, -i (n.)|vado
vagor, -aris, -ari, -atus sum|vagar, andar errante
valeo, -es, -ere, -ui|estar sano, ser fuerte, ser poderoso, ser capaz
Valerius, -ii (m.)|Valerio (nomen)
valetudo, -dinis (f.)|salud
validus, -a, -um|fuerte, robusto
vallum, -i (n.)|empalizada
varius, -a, -um|vario, variado, diverso, diferente
vasto, -as, -are, -avi, -atum|devastar, arrasar, arruinar, destruir
vastus, -a, -um|vasto, extenso
-ve (conj. disy. enclítica)|o
vehementer (adv.)|vivamente, intensamente, vehementemente
Veientes, -ium (m.)|los veyentes (habitantes de Veyes, ciudad etrusca)
vel (conj. disy.)|o
velut o veluti (adv.)|como
venatio, -onis (f.)|caza, cacería
venenum, -i (n.)|veneno
venio, -is, -ire, veni, ventum|llegar, venir, ir, acudir
ventus, -i (m.)|viento
Venus, -neris (f.)|Venus
verbum, -i (n.)|palabra
vere (adv.)|verdaderamente
veritas, -tatis (f.)|verdad
vero (conj. advers.)|pero
verto, -is, -ere, verti, versum|volver, dirigir
verum (conj. advers.)|pero, sino
verum, -i (n.)|verdad
verus, -a, -um|verdadero
vester, -tra, -trum|vuestro
vetus, -teris|viejo, antiguo
via, -ae (f.)|vía, camino
vicesimus, -a, -um|vigésimo
victima, -ae (f.)|víctima
victor, -oris (m.)|vencedor, victorioso
victoria, -ae (f.)|victoria
vicus, -i (m.)|aldea, pueblo
video, -es, -ere, vidi, visum|ver
videor, -eris, -eri, visus sum|ser visto, parecer
vidua, -ae (f.)|viuda
vigeo, -es, -ere, -gui|tener vigor, ser fuerte, dominar
vigilia, -ae (f.)|vela, vigilancia, vigilia, guardia nocturna
vigilo, -as, -are, -avi, -atum|estar despierto, velar
viginti (adj. indecl.)|veinte
vinco, -is, -ere, vici, victum|vencer
vinea, -ae (f.)|viña; vinea alta: parra
violo, -as, -are, -avi, -atum|violar, profanar
vir, viri (m.)|hombre, marido
virgo, -ginis (f.)|virgen, doncella, muchacha
virtus, -tutis (f.)|valor, virtud, mérito
vis, vis; pl.: vires, -rium (f.)|fuerza, vigor, violencia
vita, -ae (f.)|vida
vito, -as, -are, -avi, -atum|evitar, rehuir
vivo, -is, -ere, vixi, victum|vivir
vivus, -a, -um|vivo
vix (adv.)|apenas, a duras penas
voco, -as, -are, -avi, -atum|llamar, convocar
volo, vis, velle, volui|querer, desear
voluntas, -tatis (f.)|voluntad
voluptas, -tatis (f.)|placer, voluptuosidad
vos, vestrum o vestri|vosotros
vox, vocis (f.)|voz, expresión, palabra
vulnero, -as, -are, -avi, -atum|herir
vulnus, -neris (n.)|herida
vulpes, -pis (f.)|zorra
vultus, -us (m.)|rostro
Zama, -ae (f.)|Zama (ciudad de Numidia)
